date,ticketsSoldEstimate,revenueEstimateCAD
2026-09-01,74755,1265310.45
2026-09-02,102925,1701915.75
2026-09-03,112385,1873050.15
2026-09-04,155571,2682734.29
2026-09-05,214870,3541976.30
2026-09-06,183346,3050043.54
2026-09-07,85454,1455398.46
2026-09-08,56096,960185.04
2026-09-09,43401,754664.99
2026-09-10,61632,1165722.68
2026-09-11,62598,1071677.02
2026-09-12,86343,1483103.57
2026-09-13,61299,1040863.01
2026-09-14,34071,606576.29
2026-09-15,56339,965905.61
2026-09-16,53643,974421.57
2026-09-17,55140,1000881.60
2026-09-18,83568,1472170.32
2026-09-19,104919,1819178.81
2026-09-20,68443,1185602.57
2026-09-21,49789,893645.11
2026-09-22,71128,1258887.72
2026-09-23,59793,1058790.07
2026-09-24,67733,1218304.67
2026-09-25,98356,1691084.44
2026-09-26,25002,433485.98
