theatreName,ticketsSoldEstimate,revenueEstimateCAD
Capitol Saint-Jean,3909,61524.91
Cinema City Northgate,6402,95965.98
Cineplex Cinemas Abbotsford and VIP,8083,155936.17
Cineplex Cinemas Aberdeen Mall,7186,124394.14
Cineplex Cinemas Ancaster,15830,278708.70
Cineplex Cinemas Cambridge,10724,163296.76
Cineplex Cinemas Charlottetown,9253,144037.47
Cineplex Cinemas Coquitlam and VIP,32554,597896.46
Cineplex Cinemas Courtney Park,35320,567340.80
Cineplex Cinemas Dartmouth Crossing,14939,248319.61
Cineplex Cinemas Dieppe,12576,219135.24
Cineplex Cinemas East Hills,9318,155804.82
Cineplex Cinemas Empress Walk,14636,252275.64
Cineplex Cinemas Fairview Mall,16810,270357.90
Cineplex Cinemas Fredericton,15771,239611.29
Cineplex Cinemas Hamilton Mountain,16018,275882.82
Cineplex Cinemas Kitchener and VIP,18185,356387.15
Cineplex Cinemas Langley,39294,699715.06
Cineplex Cinemas Lansdowne and VIP,9932,201833.68
Cineplex Cinemas Lower Sackville,3802,57411.98
Cineplex Cinemas Manning Town Centre,10430,163733.70
Cineplex Cinemas Marine Gateway and VIP,20015,365810.85
Cineplex Cinemas Markham and VIP,29170,524843.30
Cineplex Cinemas Metropolis,23545,425113.55
Cineplex Cinemas Millbrook,1079,16810.21
Cineplex Cinemas Milton,9390,154480.10
Cineplex Cinemas Mississauga Square One,39106,691179.94
Cineplex Cinemas New Glasgow,2909,44100.91
Cineplex Cinemas New Minas,3047,46436.53
Cineplex Cinemas Normanview,4213,73833.87
Cineplex Cinemas North Barrie,6616,112622.84
Cineplex Cinemas North Edmonton and VIP,16426,320363.74
Cineplex Cinemas Oakville and VIP,10830,204194.70
Cineplex Cinemas Orchard Plaza,7403,113355.97
Cineplex Cinemas Ottawa,16237,267032.63
Cineplex Cinemas Park Lane,5145,78299.55
Cineplex Cinemas Park Royal and VIP,23515,458449.85
Cineplex Cinemas Pickering and VIP,17226,325318.74
Cineplex Cinemas Queensway and VIP,37459,710545.41
Cineplex Cinemas Saint John,9882,158476.18
Cineplex Cinemas Scarborough,21238,345365.62
Cineplex Cinemas Seton and VIP,24804,476223.96
Cineplex Cinemas Sherwood Park,13309,215003.91
Cineplex Cinemas Southland,6374,96881.26
Cineplex Cinemas Strawberry Hill,26000,414551.00
Cineplex Cinemas Summerside,2125,32324.75
Cineplex Cinemas Sydney,5741,86414.59
Cineplex Cinemas Trinity Drive,5982,93193.18
Cineplex Cinemas Truro,3047,46715.53
Cineplex Cinemas Varsity and VIP,19436,316253.64
Cineplex Cinemas Vaughan,48812,836970.88
Cineplex Cinemas Winston Churchill & VIP,37692,725758.08
Cineplex Cinemas Yarmouth,1785,26982.15
Cineplex Cinemas Yonge-Dundas and VIP,49190,895845.10
Cineplex Cinemas Yonge-Eglinton and VIP,19564,387184.36
Cineplex Cinemas Yorkdale,21805,378951.95
Cineplex Cinemas at The Centre,9546,160228.54
Cineplex Junxion Erin Mills,20923,351537.77
Cineplex Junxion Kildonan Place,17008,289878.92
Cineplex Odeon Ajax Cinemas,5630,84915.70
Cineplex Odeon Aurora Cinemas,6214,100033.86
Cineplex Odeon Barrhaven Cinemas,5209,80134.91
Cineplex Odeon Clarington Place Cinemas,7271,110540.29
Cineplex Odeon Crowfoot Crossing Cinemas,17285,293143.15
Cineplex Odeon Devonshire Mall Cinemas,15976,276024.24
Cineplex Odeon Eglinton Town Centre Cinemas,23421,384411.79
Cineplex Odeon Gardiners Road Cinemas,9313,149750.87
Cineplex Odeon Grande Prairie Cinemas,9143,138709.57
Cineplex Odeon International Village Cinemas,11347,170931.53
Cineplex Odeon McGillivray Cinemas and VIP,7326,129172.74
Cineplex Odeon Meadowtown Cinemas,6881,112133.19
Cineplex Odeon Morningside Cinemas,8318,125589.82
Cineplex Odeon Niagara Square Cinemas,7881,126181.19
Cineplex Odeon Oshawa Cinemas,13952,228282.48
Cineplex Odeon Seaway Mall Cinemas,5782,88304.18
Cineplex Odeon South Edmonton Cinemas,37531,640009.69
Cineplex Odeon South Keys Cinemas,6040,91568.60
Cineplex Odeon Sunridge Spectrum Cinemas,25281,419471.19
Cineplex Odeon Victoria Cinemas,6316,95846.84
Cineplex Odeon Westhills Cinemas,10810,171382.90
Cineplex Odeon Westmount Cinemas and VIP,12066,216885.34
Cineplex Odeon Westshore Cinemas,5411,88453.89
Cineplex Odeon Windermere Cinemas and VIP,13215,242114.85
Cineplex VIP Cinemas Brentwood (age restricted 19+),10691,277496.09
Cineplex VIP Cinemas Don Mills (age restricted 19+),6122,158890.78
Cineplex VIP Cinemas University District (age restricted 18+),8187,212780.13
Cinéma Banque Scotia Montréal,40339,737085.61
Cinéma Cineplex Forum et VIP,36280,674270.20
Cinéma Cineplex IMAX aux Galeries de la Capitale,5134,98420.66
Cinéma Cineplex Kirkland,11727,189944.73
